word,valence,arousal,dominance,trust
aaaaaaah,0.479,0.606,0.291,0.0
aaaah,0.52,0.636,0.282,0.0
aardvark,0.427,0.49,0.437,0.0
aback,0.385,0.407,0.288,0.0
abacus,0.51,0.276,0.485,0.406
abalone,0.5,0.48,0.412,0.0
abandon,0.052,0.519,0.245,0.0
abandoned,0.046,0.481,0.13,0.0
abandonment,0.128,0.43,0.202,0.0
abashed,0.177,0.644,0.307,0.0
abate,0.255,0.696,0.604,0.0
abatement,0.388,0.338,0.336,0.0
abba,0.562,0.5,0.48,0.0
abbey,0.58,0.367,0.444,0.0
abbot,0.427,0.321,0.483,0.438
abbreviate,0.531,0.375,0.33,0.0
abbreviation,0.469,0.306,0.345,0.0
abdomen,0.469,0.462,0.471,0.0
abdominal,0.49,0.456,0.445,0.0
abduct,0.173,0.72,0.615,0.0
abduction,0.062,0.99,0.673,0.0
aberrant,0.146,0.765,0.431,0.0
aberration,0.125,0.816,0.417,0.0
abeyance,0.33,0.51,0.292,0.0
abhor,0.125,0.602,0.349,0.0
abhorrence,0.167,0.684,0.42,0.0
abhorrent,0.229,0.75,0.474,0.0
abide,0.635,0.354,0.705,0.0
abiding,0.796,0.327,0.75,0.0
ability,0.875,0.51,0.816,0.0
abject,0.354,0.59,0.417,0.0
ablation,0.418,0.5,0.5,0.0
ablaze,0.24,0.847,0.525,0.0
able,0.786,0.5,0.81,0.0
abnormal,0.137,0.604,0.309,0.0
abnormality,0.092,0.655,0.383,0.0
aboard,0.698,0.284,0.481,0.0
abode,0.62,0.302,0.5,0.0
abolish,0.448,0.615,0.529,0.0
abolition,0.323,0.69,0.529,0.0
abominable,0.12,0.731,0.482,0.0
abominate,0.198,0.788,0.366,0.0
abomination,0.078,0.755,0.518,0.0
aboriginal,0.448,0.427,0.542,0.0
abort,0.153,0.686,0.429,0.0
abortion,0.082,0.77,0.283,0.0
abortive,0.09,0.776,0.28,0.0
abound,0.704,0.49,0.681,0.0
abovementioned,0.541,0.298,0.509,0.0
abracadabra,0.673,0.632,0.434,0.0
abrasion,0.406,0.592,0.441,0.0
abrasive,0.392,0.61,0.593,0.0
abreast,0.635,0.38,0.519,0.0
abroad,0.677,0.596,0.561,0.0
abrogate,0.327,0.51,0.594,0.0
abrupt,0.271,0.819,0.545,0.0
abruptly,0.25,0.808,0.556,0.0
abscess,0.154,0.451,0.349,0.0
absence,0.153,0.235,0.266,0.0
absent,0.177,0.221,0.116,0.0
absentee,0.235,0.33,0.279,0.0
absenteeism,0.404,0.273,0.357,0.0
absinthe,0.481,0.51,0.462,0.0
absolute,0.526,0.51,0.827,0.0
absolution,0.715,0.5,0.664,0.617
absolve,0.684,0.449,0.66,0.0
absorb,0.469,0.558,0.67,0.0
absorbed,0.49,0.471,0.519,0.0
absorbent,0.552,0.394,0.718,0.0
absorbing,0.49,0.49,0.578,0.0
absorption,0.609,0.422,0.446,0.0
